"X","B","Y","U2"
9,9.5,11.75,4
22,27,20.5,15
14,12,10,4
23,27.5,24.75,15
7,5.5,5.75,1
21,26.5,17.25,15
15,15.5,12.75,7
21,21.5,22.75,10
15,17.5,13.75,9
28,22,12,7
17,23.5,18.75,14
10,20,20,14
22,17,12.5,5
21,12.5,21.25,1
16,11,15.5,2
24,14,19,1
30,26,20,10
8,12,18,7
28,21,20.5,6
18,25,23.5,15
22,19,16.5,7
27,21.5,19.75,7
11,9.5,12.75,3
11,17.5,16.75,11
3,14.5,12.25,12
12,14,8,7
15,11.5,16.75,3
21,19.5,16.75,8
18,23,15.5,13
7,17.5,22.75,13
19,24.5,20.25,14
15,11.5,17.75,3
21,19.5,21.75,8
19,15.5,12.75,5
12,19,17.5,12
22,14,13,2
15,20.5,16.25,12
26,26,21,12
12,11,8.5,4
21,14.5,18.25,3
18,15,15.5,5
13,17.5,10.75,10
11,9.5,11.75,3
23,17.5,12.75,5
9,7.5,6.75,2
17,10.5,8.25,1
2,13,12.5,11
13,11.5,15.75,4
8,7,18.5,2
19,15.5,10.75,5
17,14.5,16.25,5
19,22.5,23.25,12
28,18,24,3
8,13,18.5,8
18,14,14,4
17,14.5,19.25,5
17,11.5,14.75,2
8,16,13,11
16,23,14.5,14
4,13,9.5,10
27,15.5,18.75,1
14,23,22.5,15
16,11,9.5,2
7,15.5,9.75,11
13,16.5,21.25,9
19,25.5,15.75,15
27,16.5,15.25,2
14,16,19,8
12,17,18.5,10
18,13,11.5,3
17,11.5,16.75,2
23,21.5,20.75,9
20,23,14.5,12
19,15.5,8.75,5
6,15,20.5,11
17,17.5,19.75,8
12,11,11.5,4
15,13.5,11.75,5
21,14.5,9.25,3
11,15.5,11.75,9
3,7.5,4.75,5
19,14.5,16.25,4
13,12.5,14.25,5
24,15,22.5,2
19,14.5,15.25,4
13,10.5,15.25,3
7,9.5,7.75,5
17,20.5,15.25,11
25,15.5,18.75,2
10,13,14.5,7
15,13.5,20.75,5
12,16,9,9
11,10.5,9.25,4
10,9,17.5,3
16,11,9.5,2
8,9,11.5,4
8,11,15.5,6
15,12.5,9.25,4
28,27,25.5,12
12,14,15,7
12,9,14.5,2
23,17.5,17.75,5
11,20.5,19.25,14
20,26,28,15
13,13.5,16.75,6
9,8.5,16.25,3
23,27.5,17.75,15
21,20.5,11.25,9
6,11,18.5,7
11,20.5,12.25,14
18,15,15.5,5
10,18,16,12
19,11.5,14.75,1
19,13.5,8.75,3
13,11.5,11.75,4
9,7.5,6.75,2
11,16.5,14.25,10
26,24,14,10
26,20,21,6
10,17,23.5,11
14,21,23.5,13
16,24,23,15
11,18.5,22.25,12
28,18,16,3
13,16.5,12.25,9
24,24,26,11
22,25,17.5,13
10,7,9.5,1
6,9,7.5,5
28,26,27,11
20,24,17,13
17,24.5,26.25,15
20,18,12,7
7,7.5,18.75,3
17,13.5,21.75,4
21,18.5,18.25,7
24,14,16,1
18,16,14,6
13,22.5,14.25,15
22,27,18.5,15
20,22,18,11
26,28,28,14
23,17.5,19.75,5
6,6,16,2
14,22,14,14
17,15.5,12.75,6
10,10,16,4
13,21.5,21.75,14
15,19.5,15.75,11
21,26.5,24.25,15
16,11,11.5,2
13,9.5,17.75,2
19,24.5,24.25,14
20,14,9,3
18,13,11.5,3
12,10,16,3
15,16.5,15.25,8
9,14.5,17.25,9
13,17.5,21.75,10
25,14.5,12.25,1
14,11,6.5,3
20,13,17.5,2
18,18,17,8
17,18.5,14.25,9
9,9.5,7.75,4
18,19,12.5,9
19,17.5,20.75,7
21,12.5,19.25,1
27,25.5,26.75,11
26,15,10.5,1
21,13.5,17.75,2
7,8.5,19.25,4
19,25.5,27.75,15
12,18,16,11
14,22,14,14
26,17,21.5,3
27,25.5,13.75,11
23,26.5,19.25,14
18,13,16.5,3
15,20.5,25.25,12
16,10,18,1
11,16.5,12.25,10
7,18.5,12.25,14
18,21,13.5,11
18,15,16.5,5
14,22,23,14
17,24.5,19.25,15
10,10,6,4
4,8,10,5
16,22,23,13
12,22,20,15
22,13,18.5,1
19,11.5,18.75,1
24,14,8,1
16,13,16.5,4
9,14.5,9.25,9
24,23,13.5,10
9,15.5,15.75,10
13,12.5,19.25,5
13,11.5,19.75,4
15,11.5,7.75,3
24,15,21.5,2
7,7.5,10.75,3
11,12.5,12.25,6
20,17,18.5,6
27,22.5,26.25,8
9,11.5,19.75,6
19,24.5,18.25,14
21,13.5,8.75,2
22,22,23,10
12,18,11,11
17,18.5,20.25,9
13,12.5,9.25,5
9,16.5,20.25,11
13,13.5,13.75,6
3,6.5,4.25,4
27,28.5,26.25,14
13,15.5,20.75,8
10,14,18,8
19,19.5,23.75,9
15,10.5,6.25,2
7,10.5,7.25,6
23,22.5,15.25,10
11,8.5,9.25,2
27,28.5,26.25,14
16,22,25,13
24,26,28,13
14,21,24.5,13
21,17.5,18.75,6
3,7.5,10.75,5
14,15,13.5,7
17,20.5,21.25,11
25,26.5,20.25,13
30,22,21,6
13,11.5,11.75,4
20,23,12.5,12
18,23,18.5,13
13,18.5,16.25,11
17,18.5,16.25,9
7,15.5,11.75,11
21,20.5,17.25,9
17,14.5,10.25,5
9,6.5,11.25,1
7,16.5,23.25,12
22,25,15.5,13
5,5.5,10.75,2
17,16.5,11.25,7
16,22,17,13
2,11,11.5,9
16,10,15,1
24,20,23,7
16,20,24,11
17,20.5,18.25,11
5,17.5,10.75,14
17,11.5,20.75,2
17,14.5,13.25,5
12,12,7,5
16,12,13,3
20,16,17,5
27,16.5,15.25,2
17,17.5,18.75,8
8,14,12,9
20,22,12,11
16,12,19,3
12,22,21,15
18,23,25.5,13
12,8,7,1
15,21.5,23.75,13
14,9,16.5,1
13,19.5,21.75,12
13,20.5,20.25,13
26,22,24,8
21,25.5,24.75,14
19,13.5,17.75,3
9,9.5,13.75,4
4,14,17,11
15,12.5,18.25,4
24,17,15.5,4
13,19.5,14.75,12
17,19.5,24.75,10
12,14,9,7
7,19.5,14.75,15
13,15.5,22.75,8
22,15,12.5,3
22,16,11,4
7,17.5,18.75,13
20,12,12,1
21,23.5,13.75,12
17,15.5,15.75,6
6,18,18,14
14,20,24,12
22,16,13,4
14,12,18,4
22,13,16.5,1
13,22.5,16.25,15
13,20.5,21.25,13
27,29.5,16.75,15
22,23,13.5,11
12,17,22.5,10
4,6,8,3
15,19.5,17.75,11
18,13,15.5,3
24,26,22,13
17,10.5,14.25,1
28,16,14,1
27,20.5,24.25,6
18,18,19,8
17,24.5,13.25,15
15,15.5,17.75,7
9,10.5,17.25,5
16,17,9.5,8
18,25,24.5,15
22,22,21,10
28,23,22.5,8
22,14,16,2
13,20.5,18.25,13
19,18.5,18.25,8
13,18.5,16.25,11
21,25.5,27.75,14
16,20,21,11
7,11.5,19.75,7
19,15.5,18.75,5
20,13,12.5,2
16,22,16,13
20,15,14.5,4
16,19,22.5,10
24,14,13,1
6,19,17.5,15
14,15,20.5,7
14,23,19.5,15
25,23.5,25.75,10
17,15.5,18.75,6
20,20,17,9
6,15,14.5,11
17,24.5,22.25,15
17,13.5,18.75,4
17,10.5,7.25,1
7,5.5,9.75,1
21,14.5,21.25,3
14,16,20,8
13,9.5,5.75,2
15,22.5,16.25,14
24,24,16,11
24,25,23.5,12
13,10.5,20.25,3
16,12,18,3
22,26,25,14
18,20,22,10
8,18,17,13
24,26,28,13
12,14,19,7
15,9.5,18.75,1
16,16,23,7
16,18,20,9
14,9,9.5,1
5,6.5,16.25,3
14,11,9.5,3
3,12.5,12.25,10
26,29,17.5,15
25,15.5,10.75,2
11,16.5,23.25,10
27,24.5,16.25,10
5,10.5,6.25,7
26,22,14,8
17,19.5,22.75,10
2,12,8,10
18,21,11.5,11
15,15.5,19.75,7
12,13,19.5,6
16,14,18,5
16,21,21.5,12
25,27.5,22.75,14
14,16,12,8
23,19.5,10.75,7
13,17.5,10.75,10
21,20.5,18.25,9
16,24,16,15
9,12.5,12.25,7
13,16.5,9.25,9
29,30.5,20.25,15
7,5.5,15.75,1
15,19.5,15.75,11
24,15,12.5,2
10,11,7.5,5
12,13,12.5,6
26,25,15.5,11
19,15.5,13.75,5
16,14,19,5
11,9.5,9.75,3
17,14.5,13.25,5
22,21,23.5,9
13,10.5,10.25,3
26,18,20,4
5,14.5,16.25,11
7,10.5,9.25,6
14,18,14,10
23,19.5,15.75,7
7,6.5,8.25,2
13,17.5,13.75,10
23,17.5,13.75,5
15,23.5,18.75,15
21,21.5,15.75,10
7,17.5,20.75,13
22,25,26.5,13
22,19,22.5,7
14,12,10,4
27,28.5,23.25,14
24,25,13.5,12
8,14,16,9
23,20.5,22.25,8
12,11,12.5,4
26,25,14.5,11
28,19,13.5,4
12,10,20,3
6,16,13,12
15,20.5,19.25,12
12,9,6.5,2
23,13.5,8.75,1
22,24,13,12
9,9.5,7.75,4
23,17.5,22.75,5
13,13.5,18.75,6
15,16.5,13.25,8
19,12.5,16.25,2
19,24.5,24.25,14
18,20,17,10
17,16.5,14.25,7
18,23,24.5,13
16,12,12,3
21,23.5,16.75,12
15,9.5,10.75,1
16,11,15.5,2
18,17,18.5,7
12,22,24,15
26,27,15.5,13
9,8.5,8.25,3
8,6,18,1
17,24.5,25.25,15
17,24.5,18.25,15
13,13.5,9.75,6
18,14,14,4
20,17,10.5,6
16,11,17.5,2
19,25.5,27.75,15
9,18.5,18.25,13
7,6.5,14.25,2
7,12.5,20.25,8
7,16.5,10.25,12
20,24,24,13
16,12,9,3
7,12.5,11.25,8
14,15,20.5,7
17,17.5,14.75,8
13,20.5,18.25,13
25,26.5,28.25,13
19,24.5,23.25,14
11,14.5,19.25,8
22,19,13.5,7
18,21,15.5,11
14,20,23,12
10,12,7,6
15,16.5,17.25,8
20,24,26,13
9,15.5,21.75,10
16,19,24.5,10
4,18,20,15
14,21,20.5,13
11,7.5,12.75,1
22,13,9.5,1
21,25.5,21.75,14
22,14,16,2
29,23.5,22.75,8
19,24.5,25.25,14
14,18,12,10
20,20,23,9
24,18,19,5
18,23,24.5,13
14,20,19,12
19,23.5,21.75,13
16,17,23.5,8
16,16,17,7
28,27,14.5,12
24,20,18,7
18,12,12,2
10,7,17.5,1
18,11,11.5,1
15,22.5,24.25,14
19,15.5,22.75,5
8,19,19.5,14
21,14.5,11.25,3
20,21,12.5,10
10,19,15.5,13
21,23.5,18.75,12
16,12,16,3
24,26,19,13
21,22.5,23.25,11
16,19,18.5,10
27,17.5,19.75,3
11,12.5,21.25,6
22,21,23.5,9
21,23.5,17.75,12
28,17,18.5,2
19,18.5,11.25,8
16,16,13,7
14,15,12.5,7
22,21,20.5,9
17,19.5,13.75,10
7,10.5,19.25,6
27,20.5,22.25,6
18,20,21,10
13,19.5,22.75,12
13,21.5,22.75,14
8,18,16,13
10,13,17.5,7
28,27,28.5,12
20,23,12.5,12
16,10,11,1
11,18.5,14.25,12
16,24,26,15
27,18.5,16.25,4
13,18.5,12.25,11
23,23.5,20.75,11
18,19,22.5,9
6,14,13,10
14,18,20,10
12,10,6,3
14,22,24,14
15,23.5,19.75,15
20,26,24,15
26,22,19,8
18,13,13.5,3
12,18,14,11
27,18.5,21.25,4
25,20.5,15.25,7
10,15,20.5,9
17,11.5,19.75,2
21,26.5,25.25,15
27,17.5,9.75,3
10,14,9,8
10,16,14,10
13,10.5,10.25,3
16,12,19,3
24,15,20.5,2
10,18,21,12
11,18.5,16.25,12
15,23.5,15.75,15
8,14,15,9
4,9,16.5,6
9,14.5,13.25,9
20,20,19,9
23,27.5,27.75,15
20,18,21,7
19,11.5,16.75,1
16,14,13,5
26,16,21,2
28,26,19,11
9,15.5,20.75,10
6,7,16.5,3
3,13.5,7.75,11
20,25,25.5,14
15,22.5,14.25,14
27,29.5,18.75,15
5,12.5,14.25,9
16,18,17,9
18,18,23,8
12,15,19.5,8
17,13.5,19.75,4
10,8,12,2
17,15.5,17.75,6
13,20.5,16.25,13
3,17.5,21.75,15
9,16.5,19.25,11
7,13.5,18.75,9
20,26,22,15
16,17,9.5,8
17,23.5,12.75,14
27,15.5,11.75,1
24,18,14,5
11,13.5,14.75,7
14,9,15.5,1
17,10.5,9.25,1
16,20,15,11
17,18.5,11.25,9
16,14,13,5
17,17.5,17.75,8
15,12.5,11.25,4
13,9.5,5.75,2
11,21.5,11.75,15
9,18.5,23.25,13
22,26,19,14
21,17.5,18.75,6
11,13.5,18.75,7
9,9.5,11.75,4
9,11.5,17.75,6
4,12,13,9
19,25.5,21.75,15
8,19,14.5,14
9,8.5,19.25,3
20,12,20,1
25,25.5,23.75,12
20,24,13,13
23,16.5,9.25,4
27,17.5,11.75,3
25,19.5,15.75,6
23,24.5,20.25,12
2,4,9,2
25,26.5,24.25,13
17,10.5,7.25,1
9,7.5,17.75,2
20,17,18.5,6
7,5.5,4.75,1
7,18.5,22.25,14
12,19,13.5,12
26,19,24.5,5
23,23.5,25.75,11
11,17.5,18.75,11
17,14.5,11.25,5
16,20,11,11
8,9,8.5,4
9,18.5,11.25,13
20,13,12.5,2
17,10.5,14.25,1
13,13.5,18.75,6
26,29,15.5,15
7,16.5,16.25,12
15,12.5,7.25,4
21,13.5,21.75,2
4,18,12,15
6,16,18,12
18,18,14,8
16,22,19,13
13,14.5,9.25,7
30,31,29.5,15
21,17.5,14.75,6
20,24,17,13
17,12.5,15.25,3
13,16.5,10.25,9
5,10.5,14.25,7
19,20.5,17.25,10
17,11.5,13.75,2
13,9.5,17.75,2
14,18,24,10
12,17,22.5,10
17,22.5,13.25,13
14,14,15,6
13,22.5,17.25,15
9,19.5,20.75,14
13,8.5,8.25,1
24,15,13.5,2
7,16.5,12.25,12
11,17.5,16.75,11
23,25.5,25.75,13
14,10,15,2
20,24,20,13
18,16,18,6
16,22,19,13
23,24.5,21.25,12
22,25,21.5,13
16,12,16,3
23,27.5,22.75,15
22,27,25.5,15
15,10.5,10.25,2
15,22.5,18.25,14
23,19.5,21.75,7
7,19.5,22.75,15
16,14,19,5
24,28,28,15
13,19.5,14.75,12
10,21,21.5,15
18,18,18,8
15,19.5,22.75,11
7,7.5,18.75,3
20,26,19,15
16,23,20.5,14
22,21,24.5,9
10,18,17,12
15,23.5,19.75,15
16,10,15,1
17,20.5,15.25,11
14,23,14.5,15
18,24,18,14
21,25.5,23.75,14
28,27,25.5,12
19,15.5,17.75,5
27,15.5,20.75,1
12,15,8.5,8
12,20,17,13
8,14,19,9
11,17.5,22.75,11
17,22.5,22.25,13
18,20,21,10
15,22.5,25.25,14
20,18,15,7
21,20.5,23.25,9
16,18,19,9
16,14,9,5
14,9,19.5,1
24,24,18,11
26,24,25,10
5,16.5,19.25,13
20,21,24.5,10
23,14.5,16.25,2
14,13,12.5,5
11,17.5,20.75,11
8,8,18,3
19,21.5,11.75,11
29,25.5,13.75,10
4,16,18,13
16,17,16.5,8
12,15,22.5,8
13,22.5,26.25,15
16,18,23,9
17,13.5,19.75,4
9,11.5,6.75,6
20,25,16.5,14
8,7,12.5,2
24,17,16.5,4
13,14.5,15.25,7
11,21.5,15.75,15
25,28.5,23.25,15
25,24.5,20.25,11
4,4,14,1
6,9,15.5,5
15,19.5,21.75,11
19,20.5,14.25,10
22,20,23,8
20,21,18.5,10
18,16,18,6
21,20.5,18.25,9
21,18.5,15.25,7
20,14,21,3
18,16,13,6
24,27,26.5,14
10,11,13.5,5
14,10,12,2
25,20.5,11.25,7
21,13.5,7.75,2
21,23.5,20.75,12
6,19,11.5,15
25,28.5,29.25,15
17,12.5,19.25,3
23,23.5,14.75,11
23,22.5,15.25,10
8,15,14.5,10
14,20,21,12
20,22,24,11
5,8.5,15.25,5
23,13.5,12.75,1
25,26.5,19.25,13
16,11,17.5,2
16,21,20.5,12
6,17,19.5,13
14,16,20,8
18,15,22.5,5
12,22,22,15
18,16,9,6
25,15.5,10.75,2
15,20.5,11.25,12
13,12.5,9.25,5
29,20.5,14.25,5
17,11.5,19.75,2
5,6.5,13.25,3
16,19,23.5,10
23,22.5,15.25,10
18,23,17.5,13
9,14.5,19.25,9
16,12,7,3
11,7.5,4.75,1
16,24,15,15
17,22.5,26.25,13
15,12.5,17.25,4
16,17,20.5,8
17,23.5,22.75,14
15,12.5,8.25,4
18,20,19,10
20,13,7.5,2
15,19.5,13.75,11
17,10.5,11.25,1
12,16,12,9
25,28.5,19.25,15
13,21.5,24.75,14
23,23.5,21.75,11
7,11.5,12.75,7
22,16,14,4
7,8.5,14.25,4
12,13,20.5,6
11,13.5,7.75,7
7,9.5,17.75,5
18,11,15.5,1
13,15.5,11.75,8
15,9.5,13.75,1
20,15,17.5,4
16,19,18.5,10
9,7.5,4.75,2
5,18.5,24.25,15
14,9,19.5,1
16,11,19.5,2
13,14.5,11.25,7
14,22,23,14
11,15.5,12.75,9
15,13.5,13.75,5
22,24,15,12
21,19.5,11.75,8
9,16.5,13.25,11
27,17.5,20.75,3
22,14,9,2
12,21,19.5,14
13,20.5,11.25,13
5,15.5,21.75,12
25,21.5,25.75,8
17,24.5,22.25,15
13,21.5,24.75,14
12,16,15,9
19,14.5,9.25,4
13,16.5,16.25,9
12,13,13.5,6
14,16,14,8
9,9.5,18.75,4
8,12,16,7
9,16.5,13.25,11
16,23,12.5,14
15,13.5,21.75,5
17,23.5,19.75,14
20,26,18,15
19,11.5,6.75,1
14,11,13.5,3
18,15,18.5,5
14,19,15.5,11
17,13.5,13.75,4
15,21.5,12.75,13
26,25,19.5,11
22,16,15,4
15,12.5,9.25,4
13,19.5,12.75,12
14,12,13,4
20,13,13.5,2
9,9.5,9.75,4
9,15.5,17.75,10
15,10.5,12.25,2
25,19.5,23.75,6
26,19,13.5,5
19,11.5,13.75,1
25,23.5,23.75,10
10,19,13.5,13
4,13,15.5,10
14,18,18,10
9,16.5,20.25,11
5,4.5,16.25,1
8,7,6.5,2
16,19,18.5,10
8,8,17,3
18,17,20.5,7
21,12.5,15.25,1
12,8,15,1
10,16,14,10
13,9.5,6.75,2
24,26,18,13
7,7.5,8.75,3
13,18.5,10.25,11
18,14,12,4
18,18,18,8
15,23.5,24.75,15
8,7,9.5,2
16,24,17,15
12,9,5.5,2
29,21.5,17.75,6
8,14,10,9
22,18,19,6
21,21.5,21.75,10
19,19.5,23.75,9
28,19,24.5,4
21,25.5,19.75,14
7,17.5,16.75,13
2,14,16,12
25,24.5,15.25,11
15,19.5,21.75,11
25,26.5,19.25,13
22,24,15,12
7,15.5,16.75,11
16,21,18.5,12
17,10.5,6.25,1
23,24.5,26.25,12
23,26.5,22.25,14
13,8.5,12.25,1
20,25,13.5,14
15,21.5,14.75,13
18,11,14.5,1
25,22.5,13.25,9
11,17.5,14.75,11
14,21,11.5,13
18,13,14.5,3
20,26,26,15
13,11.5,14.75,4
17,15.5,15.75,6
10,14,18,8
14,22,26,14
22,26,23,14
21,20.5,17.25,9
21,18.5,16.25,7
21,13.5,9.75,2
4,7,5.5,4
20,23,17.5,12
17,21.5,22.75,12
20,19,22.5,8
22,13,8.5,1
22,21,11.5,9
12,21,25.5,14
24,14,11,1
8,11,12.5,6
12,22,17,15
26,27,28.5,13
16,23,12.5,14
14,14,20,6
24,28,17,15
9,12.5,12.25,7
14,12,12,4
17,22.5,16.25,13
5,18.5,18.25,15
20,18,15,7
11,12.5,11.25,6
24,28,15,15
30,28,15,12
16,20,12,11
6,15,18.5,11
13,11.5,7.75,4
16,18,19,9
15,10.5,7.25,2
16,24,13,15
8,19,14.5,14
5,6.5,18.25,3
18,18,10,8
23,16.5,16.25,4
9,6.5,6.25,1
26,17,13.5,3
18,25,17.5,15
6,19,16.5,15
8,9,18.5,4
15,14.5,21.25,6
8,18,16,13
23,14.5,20.25,2
22,18,14,6
18,16,9,6
4,8,19,5
11,14.5,11.25,8
11,7.5,7.75,1
10,20,14,14
11,11.5,18.75,5
11,17.5,21.75,11
19,24.5,13.25,14
5,5.5,4.75,2
10,11,8.5,5
14,20,16,12
27,29.5,17.75,15
21,19.5,18.75,8
15,14.5,22.25,6
23,16.5,9.25,4
11,18.5,16.25,12
18,16,11,6
10,21,12.5,15
18,16,13,6
9,11.5,20.75,6
18,11,15.5,1
13,21.5,13.75,14
10,15,11.5,9
16,15,17.5,6
9,7.5,12.75,2
17,20.5,13.25,11
14,21,18.5,13
15,23.5,13.75,15
19,25.5,18.75,15
12,16,23,9
21,22.5,18.25,11
17,12.5,14.25,3
20,22,25,11
11,15.5,15.75,9
23,13.5,15.75,1
11,12.5,7.25,6
15,21.5,19.75,13
20,12,8,1
25,22.5,23.25,9
24,16,9,3
6,5,16.5,1
18,19,11.5,9
10,13,11.5,7
24,22,19,9
19,21.5,22.75,11
10,17,9.5,11
18,22,25,12
18,17,23.5,7
14,16,21,8
26,26,20,12
26,22,23,8
27,27.5,27.75,13
15,12.5,11.25,4
14,13,16.5,5
18,24,27,14
14,23,16.5,15
12,21,13.5,14
23,21.5,18.75,9
15,18.5,21.25,10
20,23,22.5,12
4,8,7,5
15,14.5,18.25,6
20,15,13.5,4
8,15,9.5,10
26,26,18,12
17,17.5,11.75,8
6,19,17.5,15
4,8,7,5
21,21.5,15.75,10
3,14.5,17.25,12
15,10.5,8.25,2
26,21,18.5,7
26,27,17.5,13
6,9,8.5,5
17,17.5,17.75,8
15,18.5,14.25,10
27,15.5,9.75,1
18,20,15,10
19,12.5,8.25,2
22,15,22.5,3
22,25,27.5,13
4,9,10.5,6
28,29,23.5,14
8,20,24,15
10,21,12.5,15
14,23,14.5,15
20,18,22,7
25,18.5,23.25,5
14,16,19,8
30,28,27,12
4,5,5.5,2
20,25,15.5,14
7,6.5,10.25,2
17,14.5,13.25,5
20,26,27,15
29,27.5,18.75,12
19,25.5,25.75,15
30,31,24.5,15
24,18,24,5
10,14,9,8
11,9.5,9.75,3
24,20,24,7
28,26,14,11
21,20.5,24.25,9
16,10,17,1
10,17,12.5,11
17,11.5,17.75,2
21,24.5,17.25,13
16,24,25,15
12,12,8,5
21,23.5,23.75,12
14,20,15,12
21,19.5,21.75,8
19,18.5,20.25,8
19,25.5,24.75,15
15,19.5,16.75,11
28,24,21,9
29,19.5,20.75,4
16,21,25.5,12
16,21,14.5,12
4,16,12,13
17,14.5,10.25,5
12,18,15,11
7,8.5,15.25,4
16,16,18,7
18,18,16,8
15,16.5,22.25,8
25,25.5,20.75,12
27,15.5,16.75,1
13,11.5,11.75,4
27,24.5,17.25,10
12,16,13,9
17,14.5,19.25,5
18,15,10.5,5
16,24,22,15
7,6.5,18.25,2
10,18,20,12
14,17,23.5,9
13,18.5,22.25,11
14,9,11.5,1
7,7.5,11.75,3
10,13,19.5,7
12,10,20,3
23,21.5,19.75,9
8,8,5,3
23,23.5,22.75,11
22,13,13.5,1
14,18,21,10
5,13.5,15.75,10
17,16.5,16.25,7
11,10.5,20.25,4
8,6,11,1
25,17.5,15.75,4
19,22.5,12.25,12
11,21.5,12.75,15
22,24,22,12
16,24,24,15
