"X","B","Y"
7,18.5,22.25
12,19,13.5
26,19,24.5
23,23.5,25.75
11,17.5,18.75
17,14.5,11.25
16,20,11
8,9,8.5
9,18.5,11.25
20,13,12.5
17,10.5,14.25
13,13.5,18.75
26,29,15.5
7,16.5,16.25
15,12.5,7.25
21,13.5,21.75
4,18,12
6,16,18
18,18,14
16,22,19
13,14.5,9.25
30,31,29.5
21,17.5,14.75
20,24,17
17,12.5,15.25
13,16.5,10.25
5,10.5,14.25
19,20.5,17.25
17,11.5,13.75
13,9.5,17.75
14,18,24
12,17,22.5
17,22.5,13.25
14,14,15
13,22.5,17.25
9,19.5,20.75
13,8.5,8.25
24,15,13.5
7,16.5,12.25
11,17.5,16.75
23,25.5,25.75
14,10,15
20,24,20
18,16,18
16,22,19
23,24.5,21.25
22,25,21.5
16,12,16
23,27.5,22.75
22,27,25.5
15,10.5,10.25
15,22.5,18.25
23,19.5,21.75
7,19.5,22.75
16,14,19
24,28,28
13,19.5,14.75
10,21,21.5
18,18,18
15,19.5,22.75
7,7.5,18.75
20,26,19
16,23,20.5
22,21,24.5
10,18,17
15,23.5,19.75
16,10,15
17,20.5,15.25
14,23,14.5
18,24,18
21,25.5,23.75
28,27,25.5
19,15.5,17.75
27,15.5,20.75
12,15,8.5
12,20,17
8,14,19
11,17.5,22.75
17,22.5,22.25
18,20,21
15,22.5,25.25
20,18,15
21,20.5,23.25
16,18,19
16,14,9
14,9,19.5
24,24,18
26,24,25
5,16.5,19.25
20,21,24.5
23,14.5,16.25
14,13,12.5
11,17.5,20.75
8,8,18
19,21.5,11.75
29,25.5,13.75
4,16,18
16,17,16.5
12,15,22.5
13,22.5,26.25
16,18,23
17,13.5,19.75
9,11.5,6.75
20,25,16.5
8,7,12.5
24,17,16.5
13,14.5,15.25
11,21.5,15.75
25,28.5,23.25
25,24.5,20.25
4,4,14
6,9,15.5
15,19.5,21.75
19,20.5,14.25
22,20,23
20,21,18.5
18,16,18
21,20.5,18.25
21,18.5,15.25
20,14,21
18,16,13
24,27,26.5
10,11,13.5
14,10,12
25,20.5,11.25
21,13.5,7.75
21,23.5,20.75
6,19,11.5
25,28.5,29.25
17,12.5,19.25
23,23.5,14.75
23,22.5,15.25
8,15,14.5
14,20,21
20,22,24
5,8.5,15.25
23,13.5,12.75
25,26.5,19.25
16,11,17.5
16,21,20.5
6,17,19.5
14,16,20
18,15,22.5
12,22,22
18,16,9
25,15.5,10.75
15,20.5,11.25
13,12.5,9.25
29,20.5,14.25
17,11.5,19.75
5,6.5,13.25
16,19,23.5
23,22.5,15.25
18,23,17.5
9,14.5,19.25
16,12,7
11,7.5,4.75
16,24,15
17,22.5,26.25
15,12.5,17.25
16,17,20.5
17,23.5,22.75
15,12.5,8.25
18,20,19
20,13,7.5
15,19.5,13.75
17,10.5,11.25
12,16,12
25,28.5,19.25
13,21.5,24.75
23,23.5,21.75
7,11.5,12.75
22,16,14
7,8.5,14.25
12,13,20.5
11,13.5,7.75
7,9.5,17.75
18,11,15.5
13,15.5,11.75
15,9.5,13.75
20,15,17.5
16,19,18.5
9,7.5,4.75
5,18.5,24.25
14,9,19.5
16,11,19.5
13,14.5,11.25
14,22,23
11,15.5,12.75
15,13.5,13.75
22,24,15
21,19.5,11.75
9,16.5,13.25
27,17.5,20.75
22,14,9
12,21,19.5
13,20.5,11.25
5,15.5,21.75
25,21.5,25.75
17,24.5,22.25
13,21.5,24.75
12,16,15
19,14.5,9.25
13,16.5,16.25
12,13,13.5
14,16,14
9,9.5,18.75
8,12,16
9,16.5,13.25
16,23,12.5
15,13.5,21.75
17,23.5,19.75
20,26,18
19,11.5,6.75
14,11,13.5
18,15,18.5
14,19,15.5
17,13.5,13.75
15,21.5,12.75
26,25,19.5
22,16,15
15,12.5,9.25
13,19.5,12.75
14,12,13
20,13,13.5
9,9.5,9.75
9,15.5,17.75
15,10.5,12.25
25,19.5,23.75
26,19,13.5
19,11.5,13.75
25,23.5,23.75
10,19,13.5
4,13,15.5
14,18,18
9,16.5,20.25
5,4.5,16.25
8,7,6.5
16,19,18.5
8,8,17
18,17,20.5
21,12.5,15.25
12,8,15
10,16,14
13,9.5,6.75
24,26,18
7,7.5,8.75
13,18.5,10.25
18,14,12
18,18,18
15,23.5,24.75
8,7,9.5
16,24,17
12,9,5.5
29,21.5,17.75
8,14,10
22,18,19
21,21.5,21.75
19,19.5,23.75
28,19,24.5
21,25.5,19.75
7,17.5,16.75
2,14,16
25,24.5,15.25
15,19.5,21.75
25,26.5,19.25
22,24,15
7,15.5,16.75
16,21,18.5
17,10.5,6.25
23,24.5,26.25
23,26.5,22.25
13,8.5,12.25
20,25,13.5
15,21.5,14.75
18,11,14.5
25,22.5,13.25
11,17.5,14.75
14,21,11.5
18,13,14.5
20,26,26
13,11.5,14.75
17,15.5,15.75
10,14,18
14,22,26
22,26,23
21,20.5,17.25
21,18.5,16.25
21,13.5,9.75
4,7,5.5
20,23,17.5
17,21.5,22.75
20,19,22.5
22,13,8.5
22,21,11.5
12,21,25.5
24,14,11
8,11,12.5
12,22,17
26,27,28.5
16,23,12.5
14,14,20
24,28,17
9,12.5,12.25
14,12,12
17,22.5,16.25
5,18.5,18.25
20,18,15
11,12.5,11.25
24,28,15
30,28,15
16,20,12
6,15,18.5
13,11.5,7.75
16,18,19
15,10.5,7.25
16,24,13
8,19,14.5
5,6.5,18.25
18,18,10
23,16.5,16.25
9,6.5,6.25
26,17,13.5
18,25,17.5
6,19,16.5
8,9,18.5
15,14.5,21.25
8,18,16
23,14.5,20.25
22,18,14
18,16,9
4,8,19
11,14.5,11.25
11,7.5,7.75
10,20,14
11,11.5,18.75
11,17.5,21.75
19,24.5,13.25
5,5.5,4.75
10,11,8.5
14,20,16
27,29.5,17.75
21,19.5,18.75
15,14.5,22.25
23,16.5,9.25
11,18.5,16.25
18,16,11
10,21,12.5
18,16,13
9,11.5,20.75
18,11,15.5
13,21.5,13.75
10,15,11.5
16,15,17.5
9,7.5,12.75
17,20.5,13.25
14,21,18.5
15,23.5,13.75
19,25.5,18.75
12,16,23
21,22.5,18.25
17,12.5,14.25
20,22,25
11,15.5,15.75
23,13.5,15.75
11,12.5,7.25
15,21.5,19.75
20,12,8
25,22.5,23.25
24,16,9
6,5,16.5
18,19,11.5
10,13,11.5
24,22,19
19,21.5,22.75
10,17,9.5
18,22,25
18,17,23.5
14,16,21
26,26,20
26,22,23
27,27.5,27.75
15,12.5,11.25
14,13,16.5
18,24,27
14,23,16.5
12,21,13.5
23,21.5,18.75
15,18.5,21.25
20,23,22.5
4,8,7
15,14.5,18.25
20,15,13.5
8,15,9.5
26,26,18
17,17.5,11.75
6,19,17.5
4,8,7
21,21.5,15.75
3,14.5,17.25
15,10.5,8.25
26,21,18.5
26,27,17.5
6,9,8.5
17,17.5,17.75
15,18.5,14.25
27,15.5,9.75
18,20,15
19,12.5,8.25
22,15,22.5
22,25,27.5
4,9,10.5
28,29,23.5
8,20,24
10,21,12.5
14,23,14.5
20,18,22
25,18.5,23.25
14,16,19
30,28,27
4,5,5.5
20,25,15.5
7,6.5,10.25
17,14.5,13.25
20,26,27
29,27.5,18.75
19,25.5,25.75
30,31,24.5
24,18,24
10,14,9
11,9.5,9.75
24,20,24
28,26,14
21,20.5,24.25
16,10,17
10,17,12.5
17,11.5,17.75
21,24.5,17.25
16,24,25
12,12,8
21,23.5,23.75
14,20,15
21,19.5,21.75
19,18.5,20.25
19,25.5,24.75
15,19.5,16.75
28,24,21
29,19.5,20.75
16,21,25.5
16,21,14.5
4,16,12
17,14.5,10.25
12,18,15
7,8.5,15.25
16,16,18
18,18,16
15,16.5,22.25
25,25.5,20.75
27,15.5,16.75
13,11.5,11.75
27,24.5,17.25
12,16,13
17,14.5,19.25
18,15,10.5
16,24,22
7,6.5,18.25
10,18,20
14,17,23.5
13,18.5,22.25
14,9,11.5
7,7.5,11.75
10,13,19.5
12,10,20
23,21.5,19.75
8,8,5
23,23.5,22.75
22,13,13.5
14,18,21
5,13.5,15.75
17,16.5,16.25
11,10.5,20.25
8,6,11
25,17.5,15.75
19,22.5,12.25
11,21.5,12.75
22,24,22
16,24,24
18,11,17.5
23,19.5,15.75
15,15.5,22.75
23,15.5,9.75
18,23,15.5
20,13,10.5
10,9,5.5
15,18.5,10.25
11,21.5,17.75
24,28,26
12,12,8
16,21,25.5
4,14,12
26,20,24
10,16,23
15,14.5,9.25
19,20.5,12.25
11,21.5,23.75
15,15.5,22.75
16,24,23
20,19,13.5
12,22,24
16,15,18.5
7,8.5,18.25
10,16,21
19,16.5,16.25
25,20.5,11.25
9,11.5,18.75
22,17,10.5
15,19.5,16.75
16,12,12
22,17,20.5
26,18,22
26,21,12.5
9,10.5,7.25
11,18.5,21.25
17,24.5,20.25
14,14,9
19,13.5,13.75
10,14,21
28,19,17.5
6,10,19
17,24.5,13.25
16,10,12
18,23,26.5
13,16.5,13.25
26,21,14.5
18,25,21.5
16,17,16.5
29,20.5,12.25
16,15,21.5
14,23,20.5
14,11,20.5
15,19.5,23.75
16,20,15
6,13,13.5
12,18,13
24,17,16.5
26,29,16.5
10,7,12.5
7,13.5,20.75
19,12.5,13.25
13,21.5,22.75
18,14,19
20,19,20.5
18,13,18.5
5,17.5,15.75
14,21,23.5
14,16,13
11,9.5,7.75
19,15.5,8.75
18,18,16
22,14,11
21,18.5,22.25
13,18.5,23.25
16,23,16.5
28,26,19
12,8,13
21,15.5,19.75
20,19,12.5
12,22,19
17,20.5,24.25
12,18,20
24,16,23
19,18.5,21.25
18,16,17
19,17.5,9.75
11,7.5,12.75
22,27,28.5
12,15,20.5
13,10.5,11.25
8,10,6
11,19.5,17.75
26,18,12
16,15,15.5
28,27,22.5
22,26,21
16,15,10.5
12,18,16
14,13,14.5
8,13,17.5
21,22.5,26.25
22,16,20
18,20,15
18,16,14
21,18.5,23.25
16,15,13.5
16,11,16.5
21,18.5,18.25
16,21,21.5
14,16,17
15,11.5,10.75
12,8,5
17,23.5,23.75
20,24,16
27,25.5,16.75
17,21.5,11.75
19,16.5,10.25
7,8.5,14.25
9,7.5,15.75
11,9.5,5.75
21,18.5,16.25
8,6,13
24,22,25
9,17.5,17.75
8,11,15.5
15,19.5,23.75
17,13.5,13.75
25,17.5,21.75
9,8.5,13.25
17,15.5,15.75
7,18.5,14.25
20,16,23
13,21.5,18.75
25,25.5,19.75
26,18,24
6,8,5
15,23.5,25.75
26,20,24
23,17.5,19.75
21,21.5,21.75
13,14.5,9.25
5,4.5,3.25
25,18.5,23.25
17,17.5,12.75
3,7.5,18.75
15,20.5,14.25
11,15.5,8.75
26,26,24
27,16.5,20.25
3,4.5,11.25
22,16,18
8,9,16.5
12,22,24
17,10.5,18.25
16,16,9
14,11,20.5
5,7.5,7.75
11,18.5,10.25
14,10,7
25,19.5,17.75
16,13,20.5
23,21.5,12.75
23,25.5,27.75
26,17,16.5
11,11.5,15.75
15,19.5,24.75
12,20,11
6,18,16
15,22.5,19.25
12,21,22.5
12,22,20
12,11,19.5
12,11,20.5
13,14.5,13.25
17,14.5,11.25
15,9.5,6.75
16,22,13
18,19,18.5
19,19.5,24.75
10,19,13.5
20,21,13.5
7,6.5,15.25
4,17,18.5
17,10.5,14.25
23,19.5,23.75
17,16.5,15.25
9,12.5,21.25
16,11,18.5
21,26.5,21.25
22,16,13
20,14,14
15,14.5,22.25
11,21.5,13.75
23,27.5,26.75
19,18.5,21.25
15,15.5,13.75
23,19.5,13.75
17,19.5,16.75
24,26,19
16,22,15
17,24.5,16.25
7,8.5,13.25
12,18,20
6,16,20
14,19,10.5
15,23.5,19.75
23,15.5,21.75
15,17.5,22.75
20,26,16
15,22.5,23.25
13,22.5,15.25
22,15,19.5
9,13.5,20.75
19,18.5,10.25
28,22,26
13,11.5,19.75
17,13.5,15.75
8,11,19.5
16,20,18
12,18,15
22,17,12.5
30,22,20
23,27.5,18.75
8,20,20
16,23,17.5
20,14,21
8,7,6.5
7,11.5,18.75
18,17,19.5
16,13,14.5
22,16,14
9,13.5,13.75
7,10.5,8.25
23,26.5,28.25
16,10,20
13,8.5,11.25
26,27,14.5
15,15.5,20.75
10,13,18.5
17,22.5,21.25
23,21.5,22.75
16,16,19
10,12,7
15,13.5,18.75
2,16,23
17,24.5,17.25
17,22.5,18.25
14,19,23.5
17,14.5,13.25
7,8.5,6.25
17,10.5,12.25
16,17,9.5
13,22.5,23.25
11,7.5,12.75
6,15,18.5
25,24.5,15.25
22,16,18
26,26,17
19,13.5,15.75
10,9,9.5
16,16,15
13,20.5,21.25
11,7.5,13.75
15,18.5,14.25
17,19.5,14.75
16,24,27
16,23,12.5
14,18,24
4,10,8
9,10.5,20.25
22,25,21.5
7,14.5,17.25
17,20.5,17.25
13,10.5,9.25
18,13,14.5
20,20,24
13,18.5,11.25
9,11.5,19.75
26,15,22.5
14,13,19.5
27,20.5,20.25
13,22.5,23.25
17,15.5,20.75
18,17,20.5
25,20.5,21.25
9,12.5,18.25
9,13.5,15.75
13,17.5,18.75
17,13.5,9.75
16,12,8
15,21.5,12.75
20,22,14
26,26,14
21,18.5,22.25
10,8,10
14,22,24
9,10.5,19.25
4,4,16
9,19.5,20.75
16,17,15.5
14,22,23
14,19,12.5
16,22,15
19,16.5,10.25
28,26,17
10,13,8.5
22,20,12
14,12,8
8,17,12.5
26,20,20
16,21,17.5
21,26.5,24.25
13,12.5,15.25
22,23,16.5
15,9.5,7.75
11,7.5,9.75
